id,tag,text
1,"[1, 'label']",2
2,"[2, 's1', 'heading']",Ruth Meets Boaz
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",Now Naomi had
5,"[5, 'p1', 'verse', 'v1', 'note', 'x']","#ch.3:2,12"
6,"[6, 'p1', 'verse', 'v1', 'content']","a relative of her husband’s, a worthy man of the clan of Elimelech, whose name was"
7,"[7, 'p1', 'verse', 'v1', 'note', 'x']",#ch.4:21;Matt. 1:5
8,"[8, 'p1', 'verse', 'v1', 'content']",Boaz.
9,"['v001_ESV_RUT_002', 9, 'p1', 'verse', 'v1', 'plain_text']","1 Now Naomi had a relative of her husband’s, a worthy man of the clan of Elimelech, whose name was Boaz."
10,"[10, 'p1', 'verse', 'v2', 'label']",2
11,"[11, 'p1', 'verse', 'v2', 'content']","And Ruth the Moabite said to Naomi, “Let me go to the field and"
12,"[12, 'p1', 'verse', 'v2', 'note', 'x']",#[Deut. 24:19]
13,"[13, 'p1', 'verse', 'v2', 'content']",glean among the ears of grain after him
14,"[14, 'p1', 'verse', 'v2', 'note', 'x']","#ver.10, 13"
15,"[15, 'p1', 'verse', 'v2', 'content']","in whose sight I shall find favor.” And she said to her, “Go, my daughter.”"
16,"['v002_ESV_RUT_002', 16, 'p1', 'verse', 'v2', 'plain_text']","2 And Ruth the Moabite said to Naomi, “Let me go to the field and glean among the ears of grain after him in whose sight I shall find favor.” And she said to her, “Go, my daughter.”"
17,"[17, 'p1', 'verse', 'v3', 'label']",3
18,"[18, 'p1', 'verse', 'v3', 'content']","So she set out and went and gleaned in the field after the reapers, and she happened to come to the part of the field belonging to Boaz, who was of the clan of Elimelech."
19,"['v003_ESV_RUT_002', 19, 'p1', 'verse', 'v3', 'plain_text']","3 So she set out and went and gleaned in the field after the reapers, and she happened to come to the part of the field belonging to Boaz, who was of the clan of Elimelech."
20,"[20, 'p1', 'verse', 'v4', 'label']",4
21,"[21, 'p1', 'verse', 'v4', 'content']","And behold, Boaz came from Bethlehem. And he said to the reapers,"
22,"[22, 'p1', 'verse', 'v4', 'note', 'x']","#Ps. 129:7,8"
23,"[23, 'p1', 'verse', 'v4', 'content']",“The
24,"[24, 'p1', 'verse', 'v4', 'nd']",Lord
25,"[25, 'p1', 'verse', 'v4', 'content']","be with you!” And they answered, “The"
26,"[26, 'p1', 'verse', 'v4', 'nd']",Lord
27,"[27, 'p1', 'verse', 'v4', 'content']",bless you.”
28,"['v004_ESV_RUT_002', 28, 'p1', 'verse', 'v4', 'plain_text']","4 And behold, Boaz came from Bethlehem. And he said to the reapers, “The Lord be with you!” And they answered, “The Lord bless you.”"
29,"[29, 'p1', 'verse', 'v5', 'label']",5
30,"[30, 'p1', 'verse', 'v5', 'content']","Then Boaz said to his young man who was in charge of the reapers, “Whose young woman is this?”"
