id,tag,text
1,"[1, 'label']",23
2,"[2, 's1', 'heading']",Those Excluded from the Assembly
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'content']",“No one whose testicles are crushed or whose male organ is cut off shall enter the assembly of the
5,"[5, 'p1', 'verse', 'v1', 'nd']",Lord
6,"[6, 'p1', 'verse', 'v1', 'content']",.
7,"['v001_ESV_DEU_023', 7, 'p1', 'verse', 'v1', 'plain_text']",1 “No one whose testicles are crushed or whose male organ is cut off shall enter the assembly of the Lord .
8,"[8, 'p2', 'verse', 'v2', 'label']",2
9,"[9, 'p2', 'verse', 'v2', 'note', 'x']",#[Zech. 9:6]
10,"[10, 'p2', 'verse', 'v2', 'content']",“No one born of a forbidden union may enter the assembly of the
11,"[11, 'p2', 'verse', 'v2', 'nd']",Lord
12,"[12, 'p2', 'verse', 'v2', 'content']",". Even to the tenth generation, none of his descendants may enter the assembly of the"
13,"[13, 'p2', 'verse', 'v2', 'nd']",Lord
14,"[14, 'p2', 'verse', 'v2', 'content']",.
15,"['v002_ESV_DEU_023', 15, 'p2', 'verse', 'v2', 'plain_text']","2 “No one born of a forbidden union may enter the assembly of the Lord . Even to the tenth generation, none of his descendants may enter the assembly of the Lord ."
16,"[16, 'p3', 'verse', 'v3', 'label']",3
17,"[17, 'p3', 'verse', 'v3', 'note', 'x']","#Neh. 13:1,2"
18,"[18, 'p3', 'verse', 'v3', 'content']",“No Ammonite or Moabite may enter the assembly of the
19,"[19, 'p3', 'verse', 'v3', 'nd']",Lord
20,"[20, 'p3', 'verse', 'v3', 'content']",". Even to the tenth generation, none of them may enter the assembly of the"
21,"[21, 'p3', 'verse', 'v3', 'nd']",Lord
22,"[22, 'p3', 'verse', 'v3', 'content']","forever,"
23,"['v003_ESV_DEU_023', 23, 'p3', 'verse', 'v3', 'plain_text']","3 “No Ammonite or Moabite may enter the assembly of the Lord . Even to the tenth generation, none of them may enter the assembly of the Lord forever,"
24,"[24, 'p3', 'verse', 'v4', 'label']",4
25,"[25, 'p3', 'verse', 'v4', 'note', 'x']",#[ch.2:29]
26,"[26, 'p3', 'verse', 'v4', 'content']","because they did not meet you with bread and with water on the way, when you came out of Egypt, and because they"
27,"[27, 'p3', 'verse', 'v4', 'note', 'x']","#Num. 22:5,6;[2 Pet. 2:15]"
28,"[28, 'p3', 'verse', 'v4', 'content']",hired against you Balaam the son of Beor from Pethor of
29,"[29, 'p3', 'verse', 'v4', 'note', 'x']",#Acts 7:2
30,"[30, 'p3', 'verse', 'v4', 'content']","Mesopotamia, to curse you."
31,"['v004_ESV_DEU_023', 31, 'p3', 'verse', 'v4', 'plain_text']","4 because they did not meet you with bread and with water on the way, when you came out of Egypt, and because they hired against you Balaam the son of Beor from Pethor of Mesopotamia, to curse you."
32,"[32, 'p3', 'verse', 'v5', 'label']",5
33,"[33, 'p3', 'verse', 'v5', 'content']",But the
34,"[34, 'p3', 'verse', 'v5', 'nd']",Lord
35,"[35, 'p3', 'verse', 'v5', 'content']",your God would not listen to Balaam; instead the
36,"[36, 'p3', 'verse', 'v5', 'nd']",Lord
37,"[37, 'p3', 'verse', 'v5', 'content']",your God turned
38,"[38, 'p3', 'verse', 'v5', 'note', 'x']",#Num. 23:11;24:10
39,"[39, 'p3', 'verse', 'v5', 'content']","the curse into a blessing for you, because the"
40,"[40, 'p3', 'verse', 'v5', 'nd']",Lord
41,"[41, 'p3', 'verse', 'v5', 'content']",your God loved you.
42,"['v005_ESV_DEU_023', 42, 'p3', 'verse', 'v5', 'plain_text']","5 But the Lord your God would not listen to Balaam; instead the Lord your God turned the curse into a blessing for you, because the Lord your God loved you."
43,"[43, 'p3', 'verse', 'v6', 'label']",6
44,"[44, 'p3', 'verse', 'v6', 'content']",You
45,"[45, 'p3', 'verse', 'v6', 'note', 'x']",#[Ezra 9:12]
46,"[46, 'p3', 'verse', 'v6', 'content']",shall not seek their peace or their prosperity all your days forever.
47,"['v006_ESV_DEU_023', 47, 'p3', 'verse', 'v6', 'plain_text']",6 You shall not seek their peace or their prosperity all your days forever.
48,"[48, 'p4', 'verse', 'v7', 'label']",7
49,"[49, 'p4', 'verse', 'v7', 'content']","“You shall not abhor an Edomite, for"
50,"[50, 'p4', 'verse', 'v7', 'note', 'x']","#Gen. 25:24-26;Num. 20:14;Obad. 10,12"
51,"[51, 'p4', 'verse', 'v7', 'content']","he is your brother. You shall not abhor an Egyptian, because"
52,"[52, 'p4', 'verse', 'v7', 'note', 'x']",#ch.10:19;Ex. 22:21;23:9;Lev. 19:34
