id,tag,text
1,"[1, 'label']",1
2,"[2, 's1', 'heading']",Blessing during Bondage in Egypt
3,"[3, 'p1', 'verse', 'v1', 'label']",1
4,"[4, 'p1', 'verse', 'v1', 'note', 'f']","sn Chapter 1 introduces the theme of bondage in Egypt and shows the intensifying opposition to the fulfillment of promises given earlier to Abraham, Isaac, and Jacob. The first seven verses announce the theme of Israel’s prosperity in Egypt. The second section (vv. 8-14) reports continued prosperity in the face of deliberate opposition. The third section (vv. 15-21) explains the prosperity as divine favor in spite of Pharaoh’s covert attempts at controlling the population. The final verse records a culmination in the developing tyranny and provides a transition to the next section – Pharaoh commands the open murder of the males. The power of God is revealed in the chapter as the people flourish under the forces of evil. However, by the turn of affairs at the end of the chapter, the reader is left with a question about the power of God – “What can God do?” This is good Hebrew narrative, moving the reader through tension after tension to reveal the sovereign power and majesty of the Lord God, but calling for faith every step of the way. See also D. W. Wicke, “The Literary Structure of Exodus 1:2–2:10,” JSOT 24 (1982): 99-107."
5,"[5, 'p1', 'verse', 'v1', 'content']",These
6,"[6, 'p1', 'verse', 'v1', 'note', 'f']",tn Heb “now these” or “and these.” The vav (ו) disjunctive marks a new beginning in the narrative begun in Genesis.
7,"[7, 'p1', 'verse', 'v1', 'content']",are the names
8,"[8, 'p1', 'verse', 'v1', 'note', 'f']","sn The name of the book of Exodus in the Hebrew Bible is שְׁמוֹת (shÿmot), the word for “Names,” drawn from the beginning of the book. The inclusion of the names at this point forms a literary connection to the book of Genesis. It indicates that the Israelites living in bondage had retained a knowledge of their ancestry, and with it, a knowledge of God’s promise."
9,"[9, 'p1', 'verse', 'v1', 'content']",of the sons of Israel
10,"[10, 'p1', 'verse', 'v1', 'note', 'f']","tn The expression בְּנֵי יִשְׂרָאֵל (bÿne yisra’el, “sons of Israel”) in most places refers to the nation as a whole and can be translated “Israelites,” although traditionally it has been rendered “the children of Israel” or “the sons of Israel.” Here it refers primarily to the individual sons of the patriarch Israel, for they are named. But the expression is probably also intended to indicate that they are the Israelites (cf. Gen 29:1, “eastern people,” or “easterners,” lit., “sons of the east”)."
11,"[11, 'p1', 'verse', 'v1', 'content']",who entered Egypt – each man with his household
12,"[12, 'p1', 'verse', 'v1', 'note', 'f']","tn Heb “a man and his house.” Since this serves to explain “the sons of Israel,” it has the distributive sense. So while the “sons of Israel” refers to the actual sons of the patriarch, the expression includes their families (cf. NIV, TEV, CEV, NLT)."
13,"[13, 'p1', 'verse', 'v1', 'content']",entered with Jacob:
14,"['v001_NET_EXO_001', 14, 'p1', 'verse', 'v1', 'plain_text']",1 These are the names of the sons of Israel who entered Egypt – each man with his household entered with Jacob:
15,"[15, 'p1', 'verse', 'v2', 'label']",2
16,"[16, 'p1', 'verse', 'v2', 'content']","Reuben, Simeon, Levi, and Judah,"
17,"['v002_NET_EXO_001', 17, 'p1', 'verse', 'v2', 'plain_text']","2 Reuben, Simeon, Levi, and Judah,"
18,"[18, 'p1', 'verse', 'v3', 'label']",3
19,"[19, 'p1', 'verse', 'v3', 'content']","Issachar, Zebulun, and Benjamin,"
20,"['v003_NET_EXO_001', 20, 'p1', 'verse', 'v3', 'plain_text']","3 Issachar, Zebulun, and Benjamin,"
21,"[21, 'p1', 'verse', 'v4', 'label']",4
22,"[22, 'p1', 'verse', 'v4', 'content']","Dan and Naphtali, Gad and Asher."
23,"['v004_NET_EXO_001', 23, 'p1', 'verse', 'v4', 'plain_text']","4 Dan and Naphtali, Gad and Asher."
24,"[24, 'p1', 'verse', 'v5', 'label']",5
